"","des","id","type","tfs","tfs_zulu","x","sv_id","start_speed","end_speed","sz_top","sz_bot","pfx_x","pfx_z","px","pz","x0","y0","z0","vx0","vy0","vz0","ax","ay","az","break_y","break_angle","break_length","pitch_type","type_confidence","zone","nasty","spin_dir","spin_rate","cc","mt","url","inning_side.x","inning","next_.x","num","on_1b","on_2b","on_3b","count","remove","away","home","event_num.x","play_guid.x","code","pitcher","batter","b","s","o","start_tfs","start_tfs_zulu","stand","b_height","p_throws","atbat_des","event","score","home_team_runs","away_team_runs","event2","event3","batter_name","pitcher_name","event4","end_tfs_zulu","team_name","tmax","tmin","tdmean","tmean","heat_index","rh","y","m","d"
"11","Called Strike",40,"S","001859","2017-04-25T00:18:59Z",97.65,"170425_001859",90.3,83,3.4,1.65,-7.43159664819294,7.44049121949796,0.563827155660636,2.15535478708496,-2.71345907863205,50,5.59611061589215,10.9952276310107,-130.814357632124,-5.21256759170978,-12.9764443556192,25.610467010456,-19.1820732301369,23.8,28.4,5.3,"FF",2,9,47,224.965,2036.463,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",1,"Y",6,425783,NA,NA,"3-0","","min","tex","40","1f170c1b-707e-4594-9166-a07598aeb16f","C",461833,608577,3,3,3,"001704","2017-04-25T00:17:04Z","L","6-4","R","Nomar Mazara called out on strikes and Shin-Soo Choo caught stealing 2nd, catcher Chris Gimenez to shortstop Jorge Polanco.  ","Strikeout - DP",NA,"0","0","Caught Stealing 2B",NA,"Nomar Mazara","Phil Hughes",NA,"2017-04-25T00:20:15Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"12","Called Strike",41,"S","001925","2017-04-25T00:19:25Z",109.53,"170425_001925",89.6,81.5,3.4,1.65,-11.8699911276342,6.49849351348357,0.238704056466251,1.76589489668865,-2.72090435344694,50,5.65721750155842,11.4948265331762,-129.521932935679,-5.79447580352445,-20.1050962221033,27.7905304810994,-21.1670616107425,23.8,38.4,6.8,"FT",2,9,48,241.3,2567.382,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",1,"Y",6,425783,NA,NA,"3-1","","min","tex","41","a4bfacc9-8570-4cb6-a536-f34c7a0f7342","C",461833,608577,3,3,3,"001704","2017-04-25T00:17:04Z","L","6-4","R","Nomar Mazara called out on strikes and Shin-Soo Choo caught stealing 2nd, catcher Chris Gimenez to shortstop Jorge Polanco.  ","Strikeout - DP",NA,"0","0","Caught Stealing 2B",NA,"Nomar Mazara","Phil Hughes",NA,"2017-04-25T00:20:15Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"13","Called Strike",42,"S","001951","2017-04-25T00:19:51Z",128.16,"170425_001951",88.3,81.4,3.4,1.65,-3.89511999548746,6.02695997149448,-0.292650614562758,1.37749976080195,-2.99963874866693,50,5.50317325556772,8.14616934996918,-128.033327608874,-6.09917199283961,-6.51019875256867,24.7257665874529,-22.1007498304192,23.8,12.3,5.8,"FF",2,13,50,212.873,1359.06,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",1,"Y",6,425783,NA,NA,"3-2","","min","tex","42","ec51fc2d-242b-4074-afda-a49413666ea2","C",461833,608577,3,3,3,"001704","2017-04-25T00:17:04Z","L","6-4","R","Nomar Mazara called out on strikes and Shin-Soo Choo caught stealing 2nd, catcher Chris Gimenez to shortstop Jorge Polanco.  ","Strikeout - DP",NA,"0","0","Caught Stealing 2B",NA,"Nomar Mazara","Phil Hughes",NA,"2017-04-25T00:20:15Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"14","Ball",69,"B","002748","2017-04-25T00:27:48Z",57.06,"170425_002748",90,82.1,3.25,1.47,-6.65369502291348,5.44274841626977,1.60794540310129,2.83429156598721,-2.31693052803637,50,5.694305938224,12.3080948178944,-130.091565330037,-2.90734508363313,-11.4188170916275,26.9254910716039,-22.8334117482955,23.8,20.9,5.9,"FT",2,12,37,230.716,1645.199,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",2,"Y",10,NA,NA,NA,"0-0","","min","tex","69","84d8a0de-8ab3-4e01-8913-a9a88df44b5c","B",461833,435063,2,2,0,"002715","2017-04-25T00:27:15Z","R","6-1","R","Mike Napoli doubles (3) on a sharp line drive to left fielder Eddie Rosario.  ","Double",NA,"0","0",NA,NA,"Mike Napoli","Phil Hughes",NA,"2017-04-25T00:29:26Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"15","Called Strike",70,"S","002803","2017-04-25T00:28:03Z",130.25,"170425_002804",83.4,75.6,3.25,1.47,-8.20703171850001,3.33435928319064,-0.347640207562102,2.134967152578,-2.5613270470135,50,5.8827506963839,7.7794657042341,-120.676751784208,-3.141741559082,-11.9892553382891,25.534470989197,-27.3030444946753,23.8,20.5,8.3,"CH",2,4,32,247.889,1555.769,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",2,"Y",10,NA,NA,NA,"1-0","","min","tex","70","a64dc26c-436a-4986-bd66-bbb65048b305","C",461833,435063,2,2,0,"002715","2017-04-25T00:27:15Z","R","6-1","R","Mike Napoli doubles (3) on a sharp line drive to left fielder Eddie Rosario.  ","Double",NA,"0","0",NA,NA,"Mike Napoli","Phil Hughes",NA,"2017-04-25T00:29:26Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"16","Foul",71,"S","002820","2017-04-25T00:28:20Z",114.96,"170425_002821",78.2,71.2,3.25,1.47,4.58525994672794,-6.61963187089387,0.0813841061570484,2.8968808183528,-2.76179200194766,50.0000000000001,5.9820082844191,5.00621140366858,-113.334420084831,2.26851235309584,5.89152705782796,23.0579632011361,-40.6795075125932,23.8,-9.5,12.9,"KC",2,2,39,34.708,1324.468,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",2,"Y",10,NA,NA,NA,"1-1","","min","tex","71","841fc426-f150-497f-a6a4-fa9df0f79d5d","F",461833,435063,2,2,0,"002715","2017-04-25T00:27:15Z","R","6-1","R","Mike Napoli doubles (3) on a sharp line drive to left fielder Eddie Rosario.  ","Double",NA,"0","0",NA,NA,"Mike Napoli","Phil Hughes",NA,"2017-04-25T00:29:26Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"17","Ball",72,"B","002847","2017-04-25T00:28:47Z",67.47,"170425_002848",90.9,82.2,3.25,1.47,-7.71230112249277,7.19653174677979,1.34075591315125,3.06201486493719,-2.43877210252446,50,5.71680545147689,12.3558176519221,-131.335891030032,-3.05200687068203,-13.3703224325468,29.7513629825389,-19.6978824521426,23.7,27.6,5.4,"FT",2,12,37,226.981,2020.06,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",2,"Y",10,NA,NA,NA,"1-2","","min","tex","72","eec405b3-eedf-4de4-bdb2-0ea961279c07","B",461833,435063,2,2,0,"002715","2017-04-25T00:27:15Z","R","6-1","R","Mike Napoli doubles (3) on a sharp line drive to left fielder Eddie Rosario.  ","Double",NA,"0","0",NA,NA,"Mike Napoli","Phil Hughes",NA,"2017-04-25T00:29:26Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"18","In play, no out",73,"X","002904","2017-04-25T00:29:04Z",97.67,"170425_002904",90.6,82.1,3.25,1.47,-8.74760510789371,8.24537197428393,0.507110235700867,2.58973292013114,-2.39785704662229,50,5.67178254668622,10.4317247946913,-131.06224194071,-4.49004187288023,-15.136770443382,29.037115221953,-17.9063374222818,23.8,34.3,5.4,"FF",2,6,43,226.692,2302.566,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",2,"Y",10,NA,NA,NA,"2-2","","min","tex","73","03f832ab-e63b-400e-9aef-d720172aa314","D",461833,435063,2,2,0,"002715","2017-04-25T00:27:15Z","R","6-1","R","Mike Napoli doubles (3) on a sharp line drive to left fielder Eddie Rosario.  ","Double",NA,"0","0",NA,NA,"Mike Napoli","Phil Hughes",NA,"2017-04-25T00:29:26Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"19","In play, run(s)",77,"X","003009","2017-04-25T00:30:09Z",112.4,"170425_003009",91,82.1,3.08,1.33,-7.72549363632649,7.45663938923223,0.120681391859987,2.17097612283194,-2.7515298361058,50,5.64541062083277,10.0145103248723,-131.61451474755,-5.25874876730913,-13.3868808982087,31.0928698465135,-19.2530433619962,23.7,28.5,5.5,"FF",2,5,40,226.014,2050.863,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",2,"Y",11,NA,435063,NA,"0-0","","min","tex","77","7d848658-2d67-4b1b-b57e-d219aca9edb5","E",461833,596059,0,0,0,"002928","2017-04-25T00:29:28Z","L","5-11","R","Rougned Odor doubles (3) on a line drive to left fielder Eddie Rosario.   Mike Napoli scores.  ","Double","T","1","0",NA,NA,"Rougned Odor","Phil Hughes",NA,"2017-04-25T00:30:31Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"20","Foul",84,"S","003108","2017-04-25T00:31:08Z",95.95,"170425_003109",89.6,80.5,3.34,1.5,-4.79406662485231,8.15346840065252,0.589902198194557,2.96635276268376,-2.80940986105089,50,5.67406384626219,10.213042087965,-129.496155167026,-3.22906311445221,-8.01631693591033,30.8946026100896,-18.5403651011918,23.7,16.3,4.9,"FF",2,3,65,210.453,1771.881,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",2,"Y",12,NA,596059,NA,"0-0","","min","tex","84","db3d6920-378a-4365-b401-eefa44a44e19","F",461833,462101,1,1,1,"003032","2017-04-25T00:30:32Z","R","6-0","R","Elvis Andrus grounds out, shortstop Jorge Polanco to first baseman Joe Mauer.   Rougned Odor to 3rd.  ","Groundout",NA,"1","0",NA,NA,"Elvis Andrus","Phil Hughes",NA,"2017-04-25T00:32:31Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"21","Ball",85,"B","003135","2017-04-25T00:31:35Z",179.73,"170425_003135",82.1,74.2,3.34,1.5,-5.84127689023012,3.38367294340914,-1.64564314675611,3.18613101684233,-2.99132623231853,49.9999999999999,5.80742556947868,4.91626505221573,-118.98101510407,-0.272095194489271,-8.27745496697698,25.2707108963429,-27.3791722068958,23.7,14.9,8.2,"CH",2,11,30,239.917,1166.409,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",2,"Y",12,NA,596059,NA,"0-1","","min","tex","85","f1132741-9016-4066-a0cd-10201a2374d7","B",461833,462101,1,1,1,"003032","2017-04-25T00:30:32Z","R","6-0","R","Elvis Andrus grounds out, shortstop Jorge Polanco to first baseman Joe Mauer.   Rougned Odor to 3rd.  ","Groundout",NA,"1","0",NA,NA,"Elvis Andrus","Phil Hughes",NA,"2017-04-25T00:32:31Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"22","In play, out(s)",86,"X","003202","2017-04-25T00:32:02Z",117.35,"170425_003203",81.7,75.6,3.34,1.5,-5.71138035646549,0.646661372904851,-0.00922590389473078,2.48612471078969,-2.83829553808867,50.0000000000001,5.78093964980345,8.3947388221884,-118.50002486596,-1.09471403920039,-8.20868932609211,20.3582019790728,-31.2446336027667,23.9,12.4,9.1,"CH",2,5,17,263.54,1011.401,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",2,"Y",12,NA,596059,NA,"1-1","","min","tex","86","20853582-740d-4f77-a424-71e5dfd62d32","X",461833,462101,1,1,1,"003032","2017-04-25T00:30:32Z","R","6-0","R","Elvis Andrus grounds out, shortstop Jorge Polanco to first baseman Joe Mauer.   Rougned Odor to 3rd.  ","Groundout",NA,"1","0",NA,NA,"Elvis Andrus","Phil Hughes",NA,"2017-04-25T00:32:31Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"23","Foul",91,"S","003247","2017-04-25T00:32:47Z",101.98,"170425_003248",90.4,81.8,3.67,1.71,-7.47416341576231,8.49894462104362,0.42790978185874,2.8661053885297,-2.70072226563437,50,5.75675768337636,10.5513573892442,-130.757750834342,-4.03236514878018,-12.8556884466702,29.2506231628247,-17.5557189727848,23.7,29.8,5,"FF",2,6,53,221.328,2159.897,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",2,"Y",13,NA,NA,596059,"0-0","","min","tex","91","5f89f997-7beb-4ee2-8c45-7f4b63cec1fd","F",461833,608336,2,1,2,"003232","2017-04-25T00:32:32Z","L","6-5","R","Joey Gallo pops out to third baseman Miguel Sano.  ","Pop Out",NA,"1","0",NA,NA,"Joey Gallo","Phil Hughes",NA,"2017-04-25T00:34:33Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"24","Ball",92,"B","003316","2017-04-25T00:33:16Z",60.02,"170425_003316",90.1,82.6,3.67,1.71,-6.24502205798717,5.89472495117412,1.55728334624868,3.74365815988947,-2.65303250362314,50,5.77878836153472,12.9626250460878,-130.371081223268,-0.99802200604932,-10.8194749249977,25.7069711867808,-21.9614619223421,23.8,20.6,5.5,"FF",2,12,37,226.652,1655.646,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",2,"Y",13,NA,NA,596059,"0-1","","min","tex","92","0165d423-3f79-4ec1-b3d4-ca298be52780","B",461833,608336,2,1,2,"003232","2017-04-25T00:32:32Z","L","6-5","R","Joey Gallo pops out to third baseman Miguel Sano.  ","Pop Out",NA,"1","0",NA,NA,"Joey Gallo","Phil Hughes",NA,"2017-04-25T00:34:33Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
"25","Ball",93,"B","003341","2017-04-25T00:33:41Z",59.02,"170425_003341",89.9,82.3,3.67,1.71,-6.71277986830625,3.52074694856968,1.55867516252472,3.32921268467825,-2.70790424245419,50,5.74093698557607,13.2122393914737,-129.936038232872,-1.11930381383531,-11.536004730376,25.8994097856826,-26.123596396526,23.8,18.8,6.6,"FT",2,12,36,242.323,1454.443,"","","http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_24/gid_2017_04_24_minmlb_texmlb_1/inning/inning_all.xml","bottom",2,"Y",13,NA,NA,596059,"1-1","","min","tex","93","f2c25054-4482-4800-a772-91f895550ad1","B",461833,608336,2,1,2,"003232","2017-04-25T00:32:32Z","L","6-5","R","Joey Gallo pops out to third baseman Miguel Sano.  ","Pop Out",NA,"1","0",NA,NA,"Joey Gallo","Phil Hughes",NA,"2017-04-25T00:34:33Z","Texas Rangers",22.4500007629395,9.06099987030029,5.19500017166138,15.7555003166199,14.68,49.6963372690219,"2017","04","24"
